instance.yaml
kiva v0.2.0-0-g98c829f
Copyright (C) 2012-2014 Big Ladder Software
Web: www.bigladdersoftware.com

Starting Program: 2014-Jun-24 21:25:39.217473
Creating Domain...
Initializing Temperatures...
2096-Dec-30 23:00:00
Beginning Simulation...
2097-Mar-30 19:00:00 (24.5%)
2097-Mar-31 06:00:00 (24.7%)
2097-Mar-31 17:00:00 (24.8%)
2097-Apr-01 04:00:00 (24.9%)
2097-Apr-01 15:00:00 (25%)
2097-Apr-02 02:00:00 (25.2%)
2097-Apr-02 13:00:00 (25.3%)
2097-Apr-03 01:00:00 (25.4%)
2097-Apr-03 12:00:00 (25.5%)
2097-Apr-03 23:00:00 (25.7%)
2097-Apr-04 10:00:00 (25.8%)
2097-Apr-04 21:00:00 (25.9%)
2097-Apr-05 08:00:00 (26%)
2097-Apr-05 19:00:00 (26.2%)
2097-Apr-06 06:00:00 (26.3%)
2097-Apr-06 17:00:00 (26.4%)
2097-Apr-07 04:00:00 (26.5%)
2097-Apr-07 15:00:00 (26.7%)
2097-Apr-08 02:00:00 (26.8%)
2097-Apr-08 13:00:00 (26.9%)
2097-Apr-09 00:00:00 (27%)
2097-Apr-09 11:00:00 (27.2%)
2097-Apr-09 22:00:00 (27.3%)
2097-Apr-10 09:00:00 (27.4%)
2097-Apr-10 20:00:00 (27.6%)
2097-Apr-11 07:00:00 (27.7%)
2097-Apr-11 18:00:00 (27.8%)
2097-Apr-12 05:00:00 (27.9%)
2097-Apr-12 16:00:00 (28.1%)
2097-Apr-13 03:00:00 (28.2%)
2097-Apr-13 14:00:00 (28.3%)
2097-Apr-14 01:00:00 (28.4%)
2097-Apr-14 12:00:00 (28.6%)
2097-Apr-14 23:00:00 (28.7%)
2097-Apr-15 10:00:00 (28.8%)
2097-Apr-15 21:00:00 (28.9%)
2097-Apr-16 08:00:00 (29.1%)
2097-Apr-16 19:00:00 (29.2%)
2097-Apr-17 06:00:00 (29.3%)
2097-Apr-17 17:00:00 (29.4%)
2097-Apr-18 04:00:00 (29.6%)
2097-Apr-18 15:00:00 (29.7%)
2097-Apr-19 02:00:00 (29.8%)
2097-Apr-19 13:00:00 (29.9%)
2097-Apr-20 00:00:00 (30.1%)
2097-Apr-20 11:00:00 (30.2%)
2097-Apr-20 22:00:00 (30.3%)
2097-Apr-21 09:00:00 (30.4%)
2097-Apr-21 20:00:00 (30.6%)
2097-Apr-22 07:00:00 (30.7%)
2097-Apr-22 18:00:00 (30.8%)
2097-Apr-23 05:00:00 (30.9%)
2097-Apr-23 16:00:00 (31.1%)
2097-Apr-24 03:00:00 (31.2%)
2097-Apr-24 14:00:00 (31.3%)
2097-Apr-25 01:00:00 (31.4%)
2097-Apr-25 12:00:00 (31.6%)
2097-Apr-25 23:00:00 (31.7%)
2097-Apr-26 10:00:00 (31.8%)
2097-Apr-26 21:00:00 (31.9%)
2097-Apr-27 08:00:00 (32.1%)
2097-Apr-27 19:00:00 (32.2%)
2097-Apr-28 06:00:00 (32.3%)
2097-Apr-28 17:00:00 (32.4%)
2097-Apr-29 04:00:00 (32.6%)
2097-Apr-29 15:00:00 (32.7%)
2097-Apr-30 02:00:00 (32.8%)
2097-Apr-30 13:00:00 (32.9%)
2097-May-01 00:00:00 (33.1%)
2097-May-01 11:00:00 (33.2%)
2097-May-01 22:00:00 (33.3%)
2097-May-02 10:00:00 (33.4%)
2097-May-02 21:00:00 (33.6%)
2097-May-03 08:00:00 (33.7%)
2097-May-03 19:00:00 (33.8%)
2097-May-04 06:00:00 (33.9%)
2097-May-04 17:00:00 (34.1%)
2097-May-05 04:00:00 (34.2%)
2097-May-05 15:00:00 (34.3%)
2097-May-06 02:00:00 (34.4%)
2097-May-06 13:00:00 (34.6%)
2097-May-07 00:00:00 (34.7%)
2097-May-07 11:00:00 (34.8%)
2097-May-07 22:00:00 (34.9%)
2097-May-08 09:00:00 (35.1%)
2097-May-08 20:00:00 (35.2%)
2097-May-09 07:00:00 (35.3%)
2097-May-09 18:00:00 (35.5%)
2097-May-10 05:00:00 (35.6%)
2097-May-10 16:00:00 (35.7%)
2097-May-11 03:00:00 (35.8%)
2097-May-11 14:00:00 (36%)
2097-May-12 01:00:00 (36.1%)
2097-May-12 12:00:00 (36.2%)
2097-May-12 23:00:00 (36.3%)
2097-May-13 10:00:00 (36.5%)
2097-May-13 22:00:00 (36.6%)
2097-May-14 09:00:00 (36.7%)
2097-May-14 20:00:00 (36.8%)
2097-May-15 07:00:00 (37%)
2097-May-15 18:00:00 (37.1%)
2097-May-16 05:00:00 (37.2%)
2097-May-16 16:00:00 (37.3%)
2097-May-17 03:00:00 (37.5%)
2097-May-17 14:00:00 (37.6%)
2097-May-18 01:00:00 (37.7%)
2097-May-18 12:00:00 (37.8%)
2097-May-18 23:00:00 (38%)
2097-May-19 10:00:00 (38.1%)
2097-May-19 21:00:00 (38.2%)
2097-May-20 08:00:00 (38.3%)
2097-May-20 19:00:00 (38.5%)
2097-May-21 06:00:00 (38.6%)
2097-May-21 17:00:00 (38.7%)
2097-May-22 04:00:00 (38.8%)
2097-May-22 15:00:00 (39%)
2097-May-23 02:00:00 (39.1%)
2097-May-23 13:00:00 (39.2%)
2097-May-24 00:00:00 (39.3%)
2097-May-24 11:00:00 (39.5%)
2097-May-24 22:00:00 (39.6%)
2097-May-25 09:00:00 (39.7%)
2097-May-25 21:00:00 (39.9%)
2097-May-26 08:00:00 (40%)
2097-May-26 18:00:00 (40.1%)
2097-May-27 05:00:00 (40.2%)
2097-May-27 16:00:00 (40.3%)
2097-May-28 03:00:00 (40.5%)
2097-May-28 14:00:00 (40.6%)
2097-May-29 01:00:00 (40.7%)
2097-May-29 12:00:00 (40.8%)
2097-May-30 00:00:00 (41%)
2097-May-30 11:00:00 (41.1%)
2097-May-30 22:00:00 (41.2%)
2097-May-31 09:00:00 (41.4%)
2097-May-31 20:00:00 (41.5%)
2097-Jun-01 07:00:00 (41.6%)
2097-Jun-01 18:00:00 (41.7%)
2097-Jun-02 05:00:00 (41.9%)
2097-Jun-02 16:00:00 (42%)
2097-Jun-03 03:00:00 (42.1%)
2097-Jun-03 14:00:00 (42.2%)
2097-Jun-04 01:00:00 (42.4%)
2097-Jun-04 12:00:00 (42.5%)
2097-Jun-04 23:00:00 (42.6%)
2097-Jun-05 10:00:00 (42.7%)
2097-Jun-05 21:00:00 (42.9%)
2097-Jun-06 08:00:00 (43%)
2097-Jun-06 19:00:00 (43.1%)
2097-Jun-07 06:00:00 (43.2%)
2097-Jun-07 17:00:00 (43.4%)
2097-Jun-08 04:00:00 (43.5%)
