instance.yaml
kiva v0.2.0-0-g98c829f
Copyright (C) 2012-2014 Big Ladder Software
Web: www.bigladdersoftware.com

Starting Program: 2014-Jun-24 18:02:31.874649
Creating Domain...
Initializing Temperatures...
2096-Dec-30 23:00:00
Beginning Simulation...
2097-Jan-25 05:00:00 (6.9%)
2097-Jan-25 16:00:00 (7%)
2097-Jan-26 03:00:00 (7.1%)
2097-Jan-26 14:00:00 (7.3%)
2097-Jan-27 01:00:00 (7.4%)
2097-Jan-27 12:00:00 (7.5%)
2097-Jan-27 23:00:00 (7.6%)
2097-Jan-28 10:00:00 (7.8%)
2097-Jan-28 21:00:00 (7.9%)
2097-Jan-29 08:00:00 (8%)
2097-Jan-29 19:00:00 (8.1%)
2097-Jan-30 06:00:00 (8.3%)
2097-Jan-30 17:00:00 (8.4%)
2097-Jan-31 04:00:00 (8.5%)
2097-Jan-31 15:00:00 (8.6%)
2097-Feb-01 03:00:00 (8.8%)
2097-Feb-01 14:00:00 (8.9%)
2097-Feb-02 01:00:00 (9%)
2097-Feb-02 12:00:00 (9.2%)
2097-Feb-02 23:00:00 (9.3%)
2097-Feb-03 10:00:00 (9.4%)
2097-Feb-03 21:00:00 (9.5%)
2097-Feb-04 08:00:00 (9.7%)
2097-Feb-04 19:00:00 (9.8%)
2097-Feb-05 06:00:00 (9.9%)
2097-Feb-05 17:00:00 (10%)
2097-Feb-06 04:00:00 (10.2%)
2097-Feb-06 15:00:00 (10.3%)
2097-Feb-07 02:00:00 (10.4%)
2097-Feb-07 14:00:00 (10.5%)
2097-Feb-08 02:00:00 (10.7%)
2097-Feb-08 14:00:00 (10.8%)
2097-Feb-09 02:00:00 (11%)
2097-Feb-09 13:00:00 (11.1%)
2097-Feb-10 00:00:00 (11.2%)
2097-Feb-10 11:00:00 (11.3%)
2097-Feb-10 22:00:00 (11.5%)
2097-Feb-11 09:00:00 (11.6%)
2097-Feb-11 21:00:00 (11.7%)
2097-Feb-12 08:00:00 (11.8%)
2097-Feb-12 19:00:00 (12%)
2097-Feb-13 06:00:00 (12.1%)
2097-Feb-13 17:00:00 (12.2%)
2097-Feb-14 04:00:00 (12.3%)
2097-Feb-14 15:00:00 (12.5%)
2097-Feb-15 02:00:00 (12.6%)
2097-Feb-15 13:00:00 (12.7%)
2097-Feb-16 00:00:00 (12.8%)
2097-Feb-16 11:00:00 (13%)
2097-Feb-16 22:00:00 (13.1%)
2097-Feb-17 09:00:00 (13.2%)
2097-Feb-17 20:00:00 (13.3%)
2097-Feb-18 07:00:00 (13.5%)
2097-Feb-18 18:00:00 (13.6%)
2097-Feb-19 05:00:00 (13.7%)
2097-Feb-19 16:00:00 (13.8%)
2097-Feb-20 03:00:00 (14%)
2097-Feb-20 14:00:00 (14.1%)
2097-Feb-21 02:00:00 (14.2%)
2097-Feb-21 13:00:00 (14.4%)
2097-Feb-22 00:00:00 (14.5%)
2097-Feb-22 11:00:00 (14.6%)
2097-Feb-22 22:00:00 (14.7%)
2097-Feb-23 09:00:00 (14.9%)
2097-Feb-23 20:00:00 (15%)
2097-Feb-24 07:00:00 (15.1%)
2097-Feb-24 18:00:00 (15.2%)
2097-Feb-25 05:00:00 (15.4%)
2097-Feb-25 16:00:00 (15.5%)
2097-Feb-26 03:00:00 (15.6%)
2097-Feb-26 14:00:00 (15.7%)
2097-Feb-27 01:00:00 (15.9%)
2097-Feb-27 12:00:00 (16%)
2097-Feb-27 23:00:00 (16.1%)
2097-Feb-28 11:00:00 (16.2%)
2097-Feb-28 22:00:00 (16.4%)
2097-Mar-01 09:00:00 (16.5%)
2097-Mar-01 20:00:00 (16.6%)
2097-Mar-02 07:00:00 (16.7%)
2097-Mar-02 18:00:00 (16.9%)
2097-Mar-03 05:00:00 (17%)
2097-Mar-03 16:00:00 (17.1%)
2097-Mar-04 03:00:00 (17.2%)
2097-Mar-04 14:00:00 (17.4%)
2097-Mar-05 01:00:00 (17.5%)
2097-Mar-05 12:00:00 (17.6%)
2097-Mar-05 23:00:00 (17.7%)
2097-Mar-06 10:00:00 (17.9%)
2097-Mar-06 21:00:00 (18%)
2097-Mar-07 09:00:00 (18.1%)
2097-Mar-07 20:00:00 (18.3%)
2097-Mar-08 07:00:00 (18.4%)
2097-Mar-08 18:00:00 (18.5%)
2097-Mar-09 05:00:00 (18.6%)
2097-Mar-09 16:00:00 (18.8%)
2097-Mar-10 03:00:00 (18.9%)
2097-Mar-10 14:00:00 (19%)
2097-Mar-11 01:00:00 (19.1%)
2097-Mar-11 12:00:00 (19.3%)
2097-Mar-11 23:00:00 (19.4%)
2097-Mar-12 10:00:00 (19.5%)
2097-Mar-12 21:00:00 (19.6%)
2097-Mar-13 08:00:00 (19.8%)
2097-Mar-13 19:00:00 (19.9%)
2097-Mar-14 06:00:00 (20%)
2097-Mar-14 17:00:00 (20.1%)
2097-Mar-15 04:00:00 (20.3%)
2097-Mar-15 15:00:00 (20.4%)
2097-Mar-16 02:00:00 (20.5%)
2097-Mar-16 13:00:00 (20.6%)
2097-Mar-17 01:00:00 (20.8%)
2097-Mar-17 12:00:00 (20.9%)
2097-Mar-17 23:00:00 (21%)
2097-Mar-18 10:00:00 (21.2%)
2097-Mar-18 21:00:00 (21.3%)
2097-Mar-19 08:00:00 (21.4%)
2097-Mar-19 19:00:00 (21.5%)
2097-Mar-20 06:00:00 (21.7%)
2097-Mar-20 17:00:00 (21.8%)
2097-Mar-21 04:00:00 (21.9%)
2097-Mar-21 15:00:00 (22%)
2097-Mar-22 02:00:00 (22.2%)
2097-Mar-22 13:00:00 (22.3%)
2097-Mar-23 00:00:00 (22.4%)
2097-Mar-23 11:00:00 (22.5%)
2097-Mar-23 22:00:00 (22.7%)
2097-Mar-24 09:00:00 (22.8%)
2097-Mar-24 20:00:00 (22.9%)
2097-Mar-25 07:00:00 (23%)
2097-Mar-25 18:00:00 (23.2%)
2097-Mar-26 05:00:00 (23.3%)
2097-Mar-26 16:00:00 (23.4%)
2097-Mar-27 03:00:00 (23.5%)
2097-Mar-27 14:00:00 (23.7%)
2097-Mar-28 01:00:00 (23.8%)
2097-Mar-28 12:00:00 (23.9%)
2097-Mar-28 23:00:00 (24%)
2097-Mar-29 10:00:00 (24.2%)
2097-Mar-29 22:00:00 (24.3%)
2097-Mar-30 09:00:00 (24.4%)
2097-Mar-30 20:00:00 (24.5%)
2097-Mar-31 07:00:00 (24.7%)
2097-Mar-31 18:00:00 (24.8%)
2097-Apr-01 05:00:00 (24.9%)
2097-Apr-01 16:00:00 (25%)
2097-Apr-02 03:00:00 (25.2%)
2097-Apr-02 14:00:00 (25.3%)
2097-Apr-03 01:00:00 (25.4%)
2097-Apr-03 12:00:00 (25.5%)
2097-Apr-03 23:00:00 (25.7%)
2097-Apr-04 10:00:00 (25.8%)
2097-Apr-04 21:00:00 (25.9%)
2097-Apr-05 08:00:00 (26%)
2097-Apr-05 19:00:00 (26.2%)
2097-Apr-06 06:00:00 (26.3%)
2097-Apr-06 17:00:00 (26.4%)
2097-Apr-07 04:00:00 (26.5%)
2097-Apr-07 16:00:00 (26.7%)
2097-Apr-08 03:00:00 (26.8%)
2097-Apr-08 14:00:00 (26.9%)
2097-Apr-09 01:00:00 (27.1%)
2097-Apr-09 12:00:00 (27.2%)
2097-Apr-09 23:00:00 (27.3%)
2097-Apr-10 10:00:00 (27.4%)
2097-Apr-10 21:00:00 (27.6%)
2097-Apr-11 08:00:00 (27.7%)
2097-Apr-11 19:00:00 (27.8%)
2097-Apr-12 06:00:00 (27.9%)
2097-Apr-12 17:00:00 (28.1%)
2097-Apr-13 04:00:00 (28.2%)
2097-Apr-13 15:00:00 (28.3%)
2097-Apr-14 02:00:00 (28.4%)
2097-Apr-14 13:00:00 (28.6%)
2097-Apr-15 00:00:00 (28.7%)
2097-Apr-15 11:00:00 (28.8%)
2097-Apr-15 22:00:00 (28.9%)
2097-Apr-16 09:00:00 (29.1%)
2097-Apr-16 20:00:00 (29.2%)
2097-Apr-17 07:00:00 (29.3%)
2097-Apr-17 19:00:00 (29.5%)
2097-Apr-18 06:00:00 (29.6%)
2097-Apr-18 17:00:00 (29.7%)
2097-Apr-19 04:00:00 (29.8%)
2097-Apr-19 15:00:00 (30%)
2097-Apr-20 02:00:00 (30.1%)
2097-Apr-20 13:00:00 (30.2%)
2097-Apr-21 00:00:00 (30.3%)
2097-Apr-21 11:00:00 (30.5%)
2097-Apr-21 22:00:00 (30.6%)
2097-Apr-22 09:00:00 (30.7%)
2097-Apr-22 20:00:00 (30.8%)
2097-Apr-23 07:00:00 (31%)
2097-Apr-23 18:00:00 (31.1%)
2097-Apr-24 05:00:00 (31.2%)
2097-Apr-24 16:00:00 (31.3%)
2097-Apr-25 03:00:00 (31.5%)
2097-Apr-25 14:00:00 (31.6%)
2097-Apr-26 02:00:00 (31.7%)
2097-Apr-26 13:00:00 (31.8%)
2097-Apr-27 00:00:00 (32%)
2097-Apr-27 11:00:00 (32.1%)
2097-Apr-27 22:00:00 (32.2%)
2097-Apr-28 09:00:00 (32.3%)
2097-Apr-28 20:00:00 (32.5%)
2097-Apr-29 07:00:00 (32.6%)
2097-Apr-29 18:00:00 (32.7%)
2097-Apr-30 05:00:00 (32.8%)
2097-Apr-30 16:00:00 (33%)
2097-May-01 03:00:00 (33.1%)
2097-May-01 14:00:00 (33.2%)
2097-May-02 01:00:00 (33.3%)
2097-May-02 12:00:00 (33.5%)
2097-May-02 23:00:00 (33.6%)
2097-May-03 10:00:00 (33.7%)
2097-May-03 21:00:00 (33.8%)
2097-May-04 08:00:00 (34%)
2097-May-04 19:00:00 (34.1%)
2097-May-05 06:00:00 (34.2%)
2097-May-05 17:00:00 (34.3%)
2097-May-06 04:00:00 (34.5%)
2097-May-06 15:00:00 (34.6%)
2097-May-07 03:00:00 (34.7%)
2097-May-07 14:00:00 (34.9%)
2097-May-08 01:00:00 (35%)
2097-May-08 12:00:00 (35.1%)
2097-May-08 23:00:00 (35.2%)
2097-May-09 10:00:00 (35.4%)
2097-May-09 21:00:00 (35.5%)
2097-May-10 08:00:00 (35.6%)
2097-May-10 19:00:00 (35.7%)
2097-May-11 06:00:00 (35.9%)
2097-May-11 17:00:00 (36%)
2097-May-12 04:00:00 (36.1%)
2097-May-12 15:00:00 (36.2%)
2097-May-13 02:00:00 (36.4%)
2097-May-13 13:00:00 (36.5%)
2097-May-14 00:00:00 (36.6%)
2097-May-14 11:00:00 (36.7%)
2097-May-14 22:00:00 (36.9%)
2097-May-15 09:00:00 (37%)
2097-May-15 21:00:00 (37.1%)
2097-May-16 08:00:00 (37.2%)
2097-May-16 19:00:00 (37.4%)
2097-May-17 06:00:00 (37.5%)
2097-May-17 17:00:00 (37.6%)
2097-May-18 04:00:00 (37.8%)
2097-May-18 15:00:00 (37.9%)
2097-May-19 02:00:00 (38%)
2097-May-19 13:00:00 (38.1%)
2097-May-20 00:00:00 (38.3%)
2097-May-20 11:00:00 (38.4%)
2097-May-20 22:00:00 (38.5%)
2097-May-21 09:00:00 (38.6%)
2097-May-21 20:00:00 (38.8%)
2097-May-22 07:00:00 (38.9%)
2097-May-22 18:00:00 (39%)
2097-May-23 05:00:00 (39.1%)
2097-May-23 16:00:00 (39.3%)
2097-May-24 03:00:00 (39.4%)
2097-May-24 14:00:00 (39.5%)
2097-May-25 01:00:00 (39.6%)
2097-May-25 13:00:00 (39.8%)
2097-May-26 00:00:00 (39.9%)
2097-May-26 11:00:00 (40%)
2097-May-26 22:00:00 (40.1%)
2097-May-27 09:00:00 (40.3%)
2097-May-27 20:00:00 (40.4%)
2097-May-28 07:00:00 (40.5%)
2097-May-28 18:00:00 (40.6%)
2097-May-29 05:00:00 (40.8%)
2097-May-29 16:00:00 (40.9%)
2097-May-30 03:00:00 (41%)
2097-May-30 14:00:00 (41.1%)
2097-May-31 01:00:00 (41.3%)
2097-May-31 12:00:00 (41.4%)
2097-May-31 23:00:00 (41.5%)
2097-Jun-01 10:00:00 (41.6%)
2097-Jun-01 21:00:00 (41.8%)
2097-Jun-02 08:00:00 (41.9%)
2097-Jun-02 19:00:00 (42%)
2097-Jun-03 06:00:00 (42.1%)
2097-Jun-03 17:00:00 (42.3%)
2097-Jun-04 04:00:00 (42.4%)
2097-Jun-04 16:00:00 (42.5%)
2097-Jun-05 03:00:00 (42.7%)
2097-Jun-05 14:00:00 (42.8%)
2097-Jun-06 01:00:00 (42.9%)
2097-Jun-06 12:00:00 (43%)
2097-Jun-06 23:00:00 (43.2%)
2097-Jun-07 10:00:00 (43.3%)
2097-Jun-07 21:00:00 (43.4%)
2097-Jun-08 08:00:00 (43.5%)
2097-Jun-08 19:00:00 (43.7%)
2097-Jun-09 06:00:00 (43.8%)
2097-Jun-09 17:00:00 (43.9%)
2097-Jun-10 04:00:00 (44%)
2097-Jun-10 15:00:00 (44.2%)
2097-Jun-11 02:00:00 (44.3%)
2097-Jun-11 13:00:00 (44.4%)
2097-Jun-12 00:00:00 (44.5%)
2097-Jun-12 11:00:00 (44.7%)
2097-Jun-12 22:00:00 (44.8%)
2097-Jun-13 09:00:00 (44.9%)
2097-Jun-13 20:00:00 (45%)
2097-Jun-14 07:00:00 (45.2%)
2097-Jun-14 18:00:00 (45.3%)
2097-Jun-15 06:00:00 (45.4%)
2097-Jun-15 17:00:00 (45.5%)
2097-Jun-16 04:00:00 (45.7%)
2097-Jun-16 15:00:00 (45.8%)
2097-Jun-17 02:00:00 (45.9%)
2097-Jun-17 13:00:00 (46%)
2097-Jun-18 00:00:00 (46.2%)
2097-Jun-18 11:00:00 (46.3%)
2097-Jun-18 22:00:00 (46.4%)
2097-Jun-19 09:00:00 (46.6%)
2097-Jun-19 20:00:00 (46.7%)
2097-Jun-20 07:00:00 (46.8%)
2097-Jun-20 18:00:00 (46.9%)
2097-Jun-21 05:00:00 (47.1%)
2097-Jun-21 16:00:00 (47.2%)
2097-Jun-22 03:00:00 (47.3%)
2097-Jun-22 14:00:00 (47.4%)
2097-Jun-23 01:00:00 (47.6%)
2097-Jun-23 12:00:00 (47.7%)
2097-Jun-23 23:00:00 (47.8%)
2097-Jun-24 10:00:00 (47.9%)
2097-Jun-24 20:00:00 (48%)
2097-Jun-25 06:00:00 (48.2%)
2097-Jun-25 17:00:00 (48.3%)
2097-Jun-26 04:00:00 (48.4%)
2097-Jun-26 14:00:00 (48.5%)
2097-Jun-27 01:00:00 (48.6%)
2097-Jun-27 12:00:00 (48.8%)
2097-Jun-27 23:00:00 (48.9%)
2097-Jun-28 10:00:00 (49%)
2097-Jun-28 21:00:00 (49.1%)
2097-Jun-29 08:00:00 (49.3%)
2097-Jun-29 19:00:00 (49.4%)
2097-Jun-30 06:00:00 (49.5%)
2097-Jun-30 18:00:00 (49.7%)
2097-Jul-01 05:00:00 (49.8%)
2097-Jul-01 16:00:00 (49.9%)
2097-Jul-02 03:00:00 (50%)
2097-Jul-02 14:00:00 (50.2%)
2097-Jul-03 01:00:00 (50.3%)
2097-Jul-03 12:00:00 (50.4%)
2097-Jul-03 23:00:00 (50.5%)
2097-Jul-04 10:00:00 (50.7%)
2097-Jul-04 21:00:00 (50.8%)
2097-Jul-05 08:00:00 (50.9%)
2097-Jul-05 19:00:00 (51%)
2097-Jul-06 07:00:00 (51.2%)
2097-Jul-06 18:00:00 (51.3%)
2097-Jul-07 05:00:00 (51.4%)
2097-Jul-07 16:00:00 (51.5%)
2097-Jul-08 03:00:00 (51.7%)
2097-Jul-08 14:00:00 (51.8%)
2097-Jul-09 01:00:00 (51.9%)
2097-Jul-09 12:00:00 (52%)
2097-Jul-09 23:00:00 (52.2%)
2097-Jul-10 10:00:00 (52.3%)
2097-Jul-10 21:00:00 (52.4%)
2097-Jul-11 08:00:00 (52.6%)
2097-Jul-11 19:00:00 (52.7%)
2097-Jul-12 06:00:00 (52.8%)
2097-Jul-12 17:00:00 (52.9%)
2097-Jul-13 04:00:00 (53.1%)
2097-Jul-13 15:00:00 (53.2%)
2097-Jul-14 02:00:00 (53.3%)
2097-Jul-14 14:00:00 (53.4%)
2097-Jul-15 01:00:00 (53.6%)
2097-Jul-15 12:00:00 (53.7%)
2097-Jul-15 23:00:00 (53.8%)
2097-Jul-16 10:00:00 (53.9%)
2097-Jul-16 21:00:00 (54.1%)
2097-Jul-17 08:00:00 (54.2%)
2097-Jul-17 19:00:00 (54.3%)
2097-Jul-18 06:00:00 (54.4%)
2097-Jul-18 17:00:00 (54.6%)
2097-Jul-19 04:00:00 (54.7%)
2097-Jul-19 15:00:00 (54.8%)
2097-Jul-20 02:00:00 (54.9%)
2097-Jul-20 13:00:00 (55.1%)
2097-Jul-21 00:00:00 (55.2%)
2097-Jul-21 11:00:00 (55.3%)
2097-Jul-21 22:00:00 (55.4%)
2097-Jul-22 09:00:00 (55.6%)
2097-Jul-22 20:00:00 (55.7%)
2097-Jul-23 07:00:00 (55.8%)
2097-Jul-23 18:00:00 (55.9%)
2097-Jul-24 05:00:00 (56.1%)
2097-Jul-24 16:00:00 (56.2%)
2097-Jul-25 03:00:00 (56.3%)
2097-Jul-25 14:00:00 (56.4%)
2097-Jul-26 01:00:00 (56.6%)
2097-Jul-26 12:00:00 (56.7%)
2097-Jul-26 23:00:00 (56.8%)
2097-Jul-27 10:00:00 (56.9%)
2097-Jul-27 21:00:00 (57.1%)
2097-Jul-28 09:00:00 (57.2%)
2097-Jul-28 20:00:00 (57.3%)
2097-Jul-29 07:00:00 (57.5%)
2097-Jul-29 18:00:00 (57.6%)
2097-Jul-30 05:00:00 (57.7%)
2097-Jul-30 16:00:00 (57.8%)
2097-Jul-31 03:00:00 (58%)
2097-Jul-31 14:00:00 (58.1%)
2097-Aug-01 01:00:00 (58.2%)
2097-Aug-01 12:00:00 (58.3%)
2097-Aug-01 23:00:00 (58.5%)
2097-Aug-02 10:00:00 (58.6%)
2097-Aug-02 21:00:00 (58.7%)
2097-Aug-03 08:00:00 (58.8%)
2097-Aug-03 19:00:00 (59%)
2097-Aug-04 06:00:00 (59.1%)
2097-Aug-04 17:00:00 (59.2%)
2097-Aug-05 04:00:00 (59.3%)
2097-Aug-05 15:00:00 (59.5%)
2097-Aug-06 02:00:00 (59.6%)
2097-Aug-06 14:00:00 (59.7%)
2097-Aug-07 01:00:00 (59.8%)
2097-Aug-07 12:00:00 (60%)
2097-Aug-07 23:00:00 (60.1%)
2097-Aug-08 10:00:00 (60.2%)
2097-Aug-08 21:00:00 (60.3%)
2097-Aug-09 08:00:00 (60.5%)
2097-Aug-09 19:00:00 (60.6%)
2097-Aug-10 06:00:00 (60.7%)
2097-Aug-10 17:00:00 (60.8%)
2097-Aug-11 04:00:00 (61%)
2097-Aug-11 15:00:00 (61.1%)
2097-Aug-12 02:00:00 (61.2%)
2097-Aug-12 13:00:00 (61.4%)
2097-Aug-13 00:00:00 (61.5%)
2097-Aug-13 11:00:00 (61.6%)
2097-Aug-13 22:00:00 (61.7%)
2097-Aug-14 09:00:00 (61.9%)
2097-Aug-14 21:00:00 (62%)
2097-Aug-15 08:00:00 (62.1%)
2097-Aug-15 19:00:00 (62.2%)
2097-Aug-16 06:00:00 (62.4%)
2097-Aug-16 17:00:00 (62.5%)
2097-Aug-17 04:00:00 (62.6%)
2097-Aug-17 15:00:00 (62.7%)
2097-Aug-18 02:00:00 (62.9%)
2097-Aug-18 13:00:00 (63%)
2097-Aug-19 00:00:00 (63.1%)
2097-Aug-19 11:00:00 (63.2%)
2097-Aug-19 22:00:00 (63.4%)
2097-Aug-20 09:00:00 (63.5%)
2097-Aug-20 20:00:00 (63.6%)
2097-Aug-21 07:00:00 (63.7%)
2097-Aug-21 18:00:00 (63.9%)
2097-Aug-22 05:00:00 (64%)
2097-Aug-22 16:00:00 (64.1%)
2097-Aug-23 03:00:00 (64.2%)
2097-Aug-23 14:00:00 (64.4%)
2097-Aug-24 01:00:00 (64.5%)
2097-Aug-24 12:00:00 (64.6%)
2097-Aug-24 23:00:00 (64.7%)
2097-Aug-25 10:00:00 (64.9%)
2097-Aug-25 21:00:00 (65%)
2097-Aug-26 08:00:00 (65.1%)
2097-Aug-26 19:00:00 (65.2%)
2097-Aug-27 06:00:00 (65.4%)
2097-Aug-27 17:00:00 (65.5%)
2097-Aug-28 04:00:00 (65.6%)
2097-Aug-28 16:00:00 (65.8%)
2097-Aug-29 03:00:00 (65.9%)
2097-Aug-29 14:00:00 (66%)
2097-Aug-30 01:00:00 (66.1%)
2097-Aug-30 12:00:00 (66.3%)
2097-Aug-30 23:00:00 (66.4%)
2097-Aug-31 10:00:00 (66.5%)
2097-Aug-31 21:00:00 (66.6%)
2097-Sep-01 08:00:00 (66.8%)
2097-Sep-01 19:00:00 (66.9%)
2097-Sep-02 06:00:00 (67%)
2097-Sep-02 17:00:00 (67.1%)
2097-Sep-03 04:00:00 (67.3%)
2097-Sep-03 15:00:00 (67.4%)
2097-Sep-04 02:00:00 (67.5%)
2097-Sep-04 13:00:00 (67.6%)
2097-Sep-05 00:00:00 (67.8%)
2097-Sep-05 11:00:00 (67.9%)
2097-Sep-05 22:00:00 (68%)
2097-Sep-06 09:00:00 (68.1%)
2097-Sep-06 21:00:00 (68.3%)
2097-Sep-07 08:00:00 (68.4%)
2097-Sep-07 19:00:00 (68.5%)
2097-Sep-08 06:00:00 (68.6%)
2097-Sep-08 17:00:00 (68.8%)
2097-Sep-09 04:00:00 (68.9%)
2097-Sep-09 15:00:00 (69%)
2097-Sep-10 02:00:00 (69.1%)
2097-Sep-10 13:00:00 (69.3%)
2097-Sep-11 00:00:00 (69.4%)
2097-Sep-11 11:00:00 (69.5%)
2097-Sep-11 22:00:00 (69.6%)
2097-Sep-12 09:00:00 (69.8%)
2097-Sep-12 20:00:00 (69.9%)
2097-Sep-13 07:00:00 (70%)
2097-Sep-13 18:00:00 (70.2%)
2097-Sep-14 05:00:00 (70.3%)
2097-Sep-14 16:00:00 (70.4%)
2097-Sep-15 03:00:00 (70.5%)
2097-Sep-15 14:00:00 (70.7%)
2097-Sep-16 01:00:00 (70.8%)
2097-Sep-16 12:00:00 (70.9%)
2097-Sep-16 23:00:00 (71%)
2097-Sep-17 10:00:00 (71.2%)
2097-Sep-17 21:00:00 (71.3%)
2097-Sep-18 08:00:00 (71.4%)
2097-Sep-18 20:00:00 (71.5%)
2097-Sep-19 07:00:00 (71.7%)
2097-Sep-19 18:00:00 (71.8%)
2097-Sep-20 05:00:00 (71.9%)
2097-Sep-20 16:00:00 (72%)
2097-Sep-21 03:00:00 (72.2%)
2097-Sep-21 14:00:00 (72.3%)
2097-Sep-22 01:00:00 (72.4%)
2097-Sep-22 12:00:00 (72.5%)
2097-Sep-22 23:00:00 (72.7%)
2097-Sep-23 10:00:00 (72.8%)
2097-Sep-23 21:00:00 (72.9%)
2097-Sep-24 08:00:00 (73%)
2097-Sep-24 19:00:00 (73.2%)
2097-Sep-25 06:00:00 (73.3%)
2097-Sep-25 17:00:00 (73.4%)
2097-Sep-26 04:00:00 (73.5%)
2097-Sep-26 15:00:00 (73.7%)
2097-Sep-27 02:00:00 (73.8%)
2097-Sep-27 13:00:00 (73.9%)
2097-Sep-28 00:00:00 (74%)
2097-Sep-28 11:00:00 (74.2%)
2097-Sep-28 22:00:00 (74.3%)
2097-Sep-29 09:00:00 (74.4%)
2097-Sep-29 20:00:00 (74.5%)
2097-Sep-30 08:00:00 (74.7%)
2097-Sep-30 19:00:00 (74.8%)
2097-Oct-01 06:00:00 (74.9%)
2097-Oct-01 17:00:00 (75.1%)
2097-Oct-02 04:00:00 (75.2%)
2097-Oct-02 15:00:00 (75.3%)
2097-Oct-03 02:00:00 (75.4%)
2097-Oct-03 13:00:00 (75.6%)
2097-Oct-04 00:00:00 (75.7%)
2097-Oct-04 11:00:00 (75.8%)
2097-Oct-04 22:00:00 (75.9%)
2097-Oct-05 09:00:00 (76.1%)
2097-Oct-05 20:00:00 (76.2%)
2097-Oct-06 07:00:00 (76.3%)
2097-Oct-06 18:00:00 (76.4%)
2097-Oct-07 05:00:00 (76.6%)
2097-Oct-07 16:00:00 (76.7%)
2097-Oct-08 03:00:00 (76.8%)
2097-Oct-08 14:00:00 (76.9%)
2097-Oct-09 01:00:00 (77.1%)
2097-Oct-09 12:00:00 (77.2%)
2097-Oct-10 00:00:00 (77.3%)
2097-Oct-10 11:00:00 (77.4%)
2097-Oct-10 22:00:00 (77.6%)
2097-Oct-11 09:00:00 (77.7%)
2097-Oct-11 20:00:00 (77.8%)
2097-Oct-12 07:00:00 (77.9%)
2097-Oct-12 18:00:00 (78.1%)
2097-Oct-13 05:00:00 (78.2%)
2097-Oct-13 16:00:00 (78.3%)
2097-Oct-14 03:00:00 (78.4%)
2097-Oct-14 14:00:00 (78.6%)
2097-Oct-15 01:00:00 (78.7%)
2097-Oct-15 12:00:00 (78.8%)
2097-Oct-15 23:00:00 (79%)
2097-Oct-16 10:00:00 (79.1%)
2097-Oct-16 21:00:00 (79.2%)
2097-Oct-17 08:00:00 (79.3%)
2097-Oct-17 19:00:00 (79.5%)
2097-Oct-18 06:00:00 (79.6%)
2097-Oct-18 17:00:00 (79.7%)
2097-Oct-19 04:00:00 (79.8%)
2097-Oct-19 15:00:00 (80%)
