Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Temperature [K]
2100-Jan-05 14:00:00, 12479.690350852812, 5.3731947221871312, null, null, 12479.690350852812, 294.81163501314103
2100-Jan-05 15:00:00, 12089.334041531421, 5.2051248100298304, null, null, 12089.334041531421, 294.82451077624631
2100-Jan-05 16:00:00, 11754.86372888613, 5.0611169005298047, null, null, 11754.86372888613, 294.83575540726616
2100-Jan-05 17:00:00, 11519.71356088943, 4.959871788986236, null, null, 11519.71356088943, 294.84382724903554
2100-Jan-05 18:00:00, 11399.15051513001, 4.9079627509449955, null, null, 11399.15051513001, 294.84811364740858
2100-Jan-05 19:00:00, 11386.850163395036, 4.9026667713841814, null, null, 11386.850163395036, 294.84877239385054
2100-Jan-05 20:00:00, 11462.349896819673, 4.9351735690497236, null, null, 11462.349896819673, 294.8464788114884
2100-Jan-05 21:00:00, 11601.569986295275, 4.9951154930047208, null, null, 11601.569986295275, 294.84204708320902
2100-Jan-05 22:00:00, 11785.933151602114, 5.0744939999181335, null, null, 11785.933151602114, 294.83610989873767
2100-Jan-05 23:00:00, 11992.591679472478, 5.1634718895956704, null, null, 11992.591679472478, 294.82942704967428
2100-Jan-06 00:00:00, 12207.880137228929, 5.2561654398715971, null, null, 12207.880137228929, 294.82245153877227
2100-Jan-06 01:00:00, 12434.300392043597, 5.3536518424956254, null, null, 12434.300392043597, 294.81511544024653
2100-Jan-06 02:00:00, 12669.756567252001, 5.4550287070145203, null, null, 12669.756567252001, 294.80749226373064
2100-Jan-06 03:00:00, 12909.302632803447, 5.5581664948085709, null, null, 12909.302632803447, 294.79974261614063
2100-Jan-06 04:00:00, 13150.223763572447, 5.6618963239884179, null, null, 13150.223763572447, 294.79195559018444
2100-Jan-06 05:00:00, 13389.115346763723, 5.7647523210437113, null, null, 13389.115346763723, 294.78423944778365
