instance.yaml
kiva v0.2.0-0-g98c829f
Copyright (C) 2012-2014 Big Ladder Software
Web: www.bigladdersoftware.com

Starting Program: 2014-Jun-24 21:00:36.898357
Creating Domain...
Initializing Temperatures...
2096-Dec-30 23:00:00
Beginning Simulation...
2097-Jan-23 16:00:00 (6.5%)
2097-Jan-23 20:00:00 (6.5%)
2097-Jan-24 01:00:00 (6.6%)
2097-Jan-24 06:00:00 (6.6%)
2097-Jan-24 11:00:00 (6.7%)
2097-Jan-24 16:00:00 (6.7%)
2097-Jan-24 21:00:00 (6.8%)
2097-Jan-25 02:00:00 (6.9%)
2097-Jan-25 07:00:00 (6.9%)
2097-Jan-25 12:00:00 (7%)
2097-Jan-25 17:00:00 (7%)
2097-Jan-25 22:00:00 (7.1%)
2097-Jan-26 03:00:00 (7.1%)
2097-Jan-26 08:00:00 (7.2%)
2097-Jan-26 13:00:00 (7.3%)
2097-Jan-26 17:00:00 (7.3%)
2097-Jan-26 22:00:00 (7.4%)
2097-Jan-27 03:00:00 (7.4%)
2097-Jan-27 08:00:00 (7.5%)
2097-Jan-27 13:00:00 (7.5%)
2097-Jan-27 18:00:00 (7.6%)
2097-Jan-27 23:00:00 (7.6%)
2097-Jan-28 04:00:00 (7.7%)
2097-Jan-28 09:00:00 (7.8%)
2097-Jan-28 14:00:00 (7.8%)
2097-Jan-28 19:00:00 (7.9%)
2097-Jan-29 00:00:00 (7.9%)
2097-Jan-29 05:00:00 (8%)
2097-Jan-29 10:00:00 (8%)
2097-Jan-29 14:00:00 (8.1%)
2097-Jan-29 19:00:00 (8.1%)
2097-Jan-30 00:00:00 (8.2%)
2097-Jan-30 05:00:00 (8.3%)
2097-Jan-30 10:00:00 (8.3%)
2097-Jan-30 15:00:00 (8.4%)
2097-Jan-30 20:00:00 (8.4%)
2097-Jan-31 01:00:00 (8.5%)
2097-Jan-31 06:00:00 (8.5%)
2097-Jan-31 11:00:00 (8.6%)
2097-Jan-31 16:00:00 (8.7%)
2097-Jan-31 21:00:00 (8.7%)
2097-Feb-01 02:00:00 (8.8%)
2097-Feb-01 07:00:00 (8.8%)
2097-Feb-01 12:00:00 (8.9%)
2097-Feb-01 16:00:00 (8.9%)
2097-Feb-01 21:00:00 (9%)
2097-Feb-02 02:00:00 (9%)
2097-Feb-02 07:00:00 (9.1%)
2097-Feb-02 12:00:00 (9.2%)
2097-Feb-02 17:00:00 (9.2%)
2097-Feb-02 22:00:00 (9.3%)
2097-Feb-03 03:00:00 (9.3%)
2097-Feb-03 08:00:00 (9.4%)
2097-Feb-03 13:00:00 (9.4%)
2097-Feb-03 18:00:00 (9.5%)
2097-Feb-03 23:00:00 (9.6%)
2097-Feb-04 04:00:00 (9.6%)
2097-Feb-04 09:00:00 (9.7%)
2097-Feb-04 13:00:00 (9.7%)
2097-Feb-04 18:00:00 (9.8%)
2097-Feb-04 23:00:00 (9.8%)
2097-Feb-05 04:00:00 (9.9%)
2097-Feb-05 09:00:00 (9.9%)
2097-Feb-05 14:00:00 (10%)
2097-Feb-05 19:00:00 (10.1%)
2097-Feb-06 00:00:00 (10.1%)
2097-Feb-06 05:00:00 (10.2%)
2097-Feb-06 10:00:00 (10.2%)
2097-Feb-06 15:00:00 (10.3%)
2097-Feb-06 20:00:00 (10.3%)
2097-Feb-07 01:00:00 (10.4%)
2097-Feb-07 06:00:00 (10.5%)
2097-Feb-07 10:00:00 (10.5%)
2097-Feb-07 15:00:00 (10.6%)
2097-Feb-07 20:00:00 (10.6%)
2097-Feb-08 01:00:00 (10.7%)
2097-Feb-08 06:00:00 (10.7%)
2097-Feb-08 11:00:00 (10.8%)
2097-Feb-08 16:00:00 (10.8%)
2097-Feb-08 21:00:00 (10.9%)
2097-Feb-09 02:00:00 (11%)
2097-Feb-09 07:00:00 (11%)
2097-Feb-09 12:00:00 (11.1%)
2097-Feb-09 17:00:00 (11.1%)
2097-Feb-09 22:00:00 (11.2%)
2097-Feb-10 03:00:00 (11.2%)
2097-Feb-10 07:00:00 (11.3%)
2097-Feb-10 12:00:00 (11.3%)
2097-Feb-10 17:00:00 (11.4%)
2097-Feb-10 22:00:00 (11.5%)
2097-Feb-11 03:00:00 (11.5%)
2097-Feb-11 08:00:00 (11.6%)
2097-Feb-11 13:00:00 (11.6%)
2097-Feb-11 18:00:00 (11.7%)
2097-Feb-11 23:00:00 (11.7%)
2097-Feb-12 04:00:00 (11.8%)
2097-Feb-12 09:00:00 (11.9%)
2097-Feb-12 14:00:00 (11.9%)
2097-Feb-12 19:00:00 (12%)
2097-Feb-13 00:00:00 (12%)
2097-Feb-13 04:00:00 (12.1%)
2097-Feb-13 09:00:00 (12.1%)
2097-Feb-13 14:00:00 (12.2%)
2097-Feb-13 19:00:00 (12.2%)
2097-Feb-14 00:00:00 (12.3%)
2097-Feb-14 05:00:00 (12.4%)
2097-Feb-14 10:00:00 (12.4%)
2097-Feb-14 15:00:00 (12.5%)
2097-Feb-14 20:00:00 (12.5%)
2097-Feb-15 01:00:00 (12.6%)
2097-Feb-15 06:00:00 (12.6%)
2097-Feb-15 11:00:00 (12.7%)
2097-Feb-15 16:00:00 (12.8%)
2097-Feb-15 21:00:00 (12.8%)
2097-Feb-16 02:00:00 (12.9%)
2097-Feb-16 06:00:00 (12.9%)
2097-Feb-16 11:00:00 (13%)
2097-Feb-16 16:00:00 (13%)
2097-Feb-16 21:00:00 (13.1%)
2097-Feb-17 02:00:00 (13.1%)
2097-Feb-17 07:00:00 (13.2%)
2097-Feb-17 12:00:00 (13.3%)
2097-Feb-17 17:00:00 (13.3%)
2097-Feb-17 22:00:00 (13.4%)
2097-Feb-18 03:00:00 (13.4%)
2097-Feb-18 08:00:00 (13.5%)
2097-Feb-18 13:00:00 (13.5%)
2097-Feb-18 18:00:00 (13.6%)
2097-Feb-18 23:00:00 (13.6%)
2097-Feb-19 03:00:00 (13.7%)
2097-Feb-19 08:00:00 (13.8%)
2097-Feb-19 13:00:00 (13.8%)
2097-Feb-19 18:00:00 (13.9%)
2097-Feb-19 23:00:00 (13.9%)
2097-Feb-20 04:00:00 (14%)
2097-Feb-20 09:00:00 (14%)
2097-Feb-20 14:00:00 (14.1%)
2097-Feb-20 19:00:00 (14.2%)
2097-Feb-21 00:00:00 (14.2%)
2097-Feb-21 05:00:00 (14.3%)
2097-Feb-21 10:00:00 (14.3%)
2097-Feb-21 15:00:00 (14.4%)
2097-Feb-21 20:00:00 (14.4%)
2097-Feb-22 00:00:00 (14.5%)
2097-Feb-22 05:00:00 (14.5%)
2097-Feb-22 10:00:00 (14.6%)
2097-Feb-22 15:00:00 (14.7%)
2097-Feb-22 20:00:00 (14.7%)
2097-Feb-23 01:00:00 (14.8%)
2097-Feb-23 06:00:00 (14.8%)
2097-Feb-23 11:00:00 (14.9%)
2097-Feb-23 16:00:00 (14.9%)
2097-Feb-23 21:00:00 (15%)
2097-Feb-24 02:00:00 (15.1%)
2097-Feb-24 07:00:00 (15.1%)
2097-Feb-24 12:00:00 (15.2%)
2097-Feb-24 17:00:00 (15.2%)
2097-Feb-24 21:00:00 (15.3%)
2097-Feb-25 02:00:00 (15.3%)
2097-Feb-25 07:00:00 (15.4%)
2097-Feb-25 12:00:00 (15.4%)
2097-Feb-25 17:00:00 (15.5%)
2097-Feb-25 22:00:00 (15.6%)
2097-Feb-26 03:00:00 (15.6%)
2097-Feb-26 08:00:00 (15.7%)
2097-Feb-26 13:00:00 (15.7%)
2097-Feb-26 18:00:00 (15.8%)
2097-Feb-26 23:00:00 (15.8%)
2097-Feb-27 04:00:00 (15.9%)
2097-Feb-27 09:00:00 (15.9%)
2097-Feb-27 14:00:00 (16%)
2097-Feb-27 18:00:00 (16.1%)
2097-Feb-27 23:00:00 (16.1%)
2097-Feb-28 04:00:00 (16.2%)
2097-Feb-28 09:00:00 (16.2%)
2097-Feb-28 14:00:00 (16.3%)
2097-Feb-28 19:00:00 (16.3%)
2097-Mar-01 00:00:00 (16.4%)
2097-Mar-01 05:00:00 (16.5%)
2097-Mar-01 10:00:00 (16.5%)
2097-Mar-01 15:00:00 (16.6%)
2097-Mar-01 20:00:00 (16.6%)
2097-Mar-02 01:00:00 (16.7%)
2097-Mar-02 06:00:00 (16.7%)
2097-Mar-02 11:00:00 (16.8%)
2097-Mar-02 15:00:00 (16.8%)
2097-Mar-02 20:00:00 (16.9%)
2097-Mar-03 01:00:00 (17%)
2097-Mar-03 06:00:00 (17%)
2097-Mar-03 11:00:00 (17.1%)
2097-Mar-03 16:00:00 (17.1%)
2097-Mar-03 21:00:00 (17.2%)
2097-Mar-04 02:00:00 (17.2%)
2097-Mar-04 07:00:00 (17.3%)
2097-Mar-04 12:00:00 (17.3%)
2097-Mar-04 17:00:00 (17.4%)
2097-Mar-04 22:00:00 (17.5%)
2097-Mar-05 03:00:00 (17.5%)
2097-Mar-05 08:00:00 (17.6%)
2097-Mar-05 13:00:00 (17.6%)
2097-Mar-05 17:00:00 (17.7%)
2097-Mar-05 22:00:00 (17.7%)
2097-Mar-06 03:00:00 (17.8%)
2097-Mar-06 08:00:00 (17.9%)
2097-Mar-06 13:00:00 (17.9%)
2097-Mar-06 18:00:00 (18%)
2097-Mar-06 23:00:00 (18%)
2097-Mar-07 04:00:00 (18.1%)
2097-Mar-07 09:00:00 (18.1%)
2097-Mar-07 14:00:00 (18.2%)
2097-Mar-07 19:00:00 (18.2%)
2097-Mar-08 00:00:00 (18.3%)
2097-Mar-08 05:00:00 (18.4%)
2097-Mar-08 10:00:00 (18.4%)
2097-Mar-08 14:00:00 (18.5%)
2097-Mar-08 19:00:00 (18.5%)
2097-Mar-09 00:00:00 (18.6%)
2097-Mar-09 05:00:00 (18.6%)
2097-Mar-09 10:00:00 (18.7%)
2097-Mar-09 15:00:00 (18.8%)
2097-Mar-09 20:00:00 (18.8%)
2097-Mar-10 01:00:00 (18.9%)
2097-Mar-10 06:00:00 (18.9%)
2097-Mar-10 11:00:00 (19%)
2097-Mar-10 16:00:00 (19%)
2097-Mar-10 21:00:00 (19.1%)
2097-Mar-11 02:00:00 (19.1%)
2097-Mar-11 07:00:00 (19.2%)
2097-Mar-11 11:00:00 (19.3%)
2097-Mar-11 16:00:00 (19.3%)
2097-Mar-11 21:00:00 (19.4%)
2097-Mar-12 02:00:00 (19.4%)
2097-Mar-12 07:00:00 (19.5%)
2097-Mar-12 12:00:00 (19.5%)
2097-Mar-12 17:00:00 (19.6%)
2097-Mar-12 22:00:00 (19.6%)
2097-Mar-13 03:00:00 (19.7%)
2097-Mar-13 08:00:00 (19.8%)
2097-Mar-13 13:00:00 (19.8%)
2097-Mar-13 18:00:00 (19.9%)
2097-Mar-13 23:00:00 (19.9%)
2097-Mar-14 04:00:00 (20%)
2097-Mar-14 08:00:00 (20%)
2097-Mar-14 13:00:00 (20.1%)
2097-Mar-14 18:00:00 (20.2%)
2097-Mar-14 23:00:00 (20.2%)
2097-Mar-15 04:00:00 (20.3%)
2097-Mar-15 09:00:00 (20.3%)
2097-Mar-15 14:00:00 (20.4%)
2097-Mar-15 19:00:00 (20.4%)
2097-Mar-16 00:00:00 (20.5%)
2097-Mar-16 05:00:00 (20.5%)
2097-Mar-16 10:00:00 (20.6%)
2097-Mar-16 15:00:00 (20.7%)
2097-Mar-16 20:00:00 (20.7%)
2097-Mar-17 01:00:00 (20.8%)
2097-Mar-17 06:00:00 (20.8%)
2097-Mar-17 10:00:00 (20.9%)
2097-Mar-17 15:00:00 (20.9%)
2097-Mar-17 20:00:00 (21%)
2097-Mar-18 01:00:00 (21%)
2097-Mar-18 06:00:00 (21.1%)
2097-Mar-18 11:00:00 (21.2%)
2097-Mar-18 16:00:00 (21.2%)
2097-Mar-18 21:00:00 (21.3%)
2097-Mar-19 02:00:00 (21.3%)
2097-Mar-19 07:00:00 (21.4%)
2097-Mar-19 12:00:00 (21.4%)
2097-Mar-19 17:00:00 (21.5%)
2097-Mar-19 22:00:00 (21.6%)
2097-Mar-20 03:00:00 (21.6%)
2097-Mar-20 07:00:00 (21.7%)
2097-Mar-20 12:00:00 (21.7%)
2097-Mar-20 17:00:00 (21.8%)
2097-Mar-20 22:00:00 (21.8%)
2097-Mar-21 03:00:00 (21.9%)
2097-Mar-21 08:00:00 (21.9%)
2097-Mar-21 13:00:00 (22%)
2097-Mar-21 18:00:00 (22.1%)
2097-Mar-21 23:00:00 (22.1%)
2097-Mar-22 04:00:00 (22.2%)
2097-Mar-22 09:00:00 (22.2%)
2097-Mar-22 14:00:00 (22.3%)
2097-Mar-22 19:00:00 (22.3%)
2097-Mar-23 00:00:00 (22.4%)
2097-Mar-23 04:00:00 (22.4%)
2097-Mar-23 09:00:00 (22.5%)
2097-Mar-23 14:00:00 (22.6%)
2097-Mar-23 19:00:00 (22.6%)
2097-Mar-24 00:00:00 (22.7%)
2097-Mar-24 05:00:00 (22.7%)
2097-Mar-24 10:00:00 (22.8%)
2097-Mar-24 15:00:00 (22.8%)
2097-Mar-24 20:00:00 (22.9%)
2097-Mar-25 01:00:00 (23%)
2097-Mar-25 06:00:00 (23%)
2097-Mar-25 11:00:00 (23.1%)
2097-Mar-25 16:00:00 (23.1%)
2097-Mar-25 21:00:00 (23.2%)
2097-Mar-26 02:00:00 (23.2%)
2097-Mar-26 06:00:00 (23.3%)
2097-Mar-26 11:00:00 (23.3%)
2097-Mar-26 16:00:00 (23.4%)
2097-Mar-26 21:00:00 (23.5%)
2097-Mar-27 02:00:00 (23.5%)
2097-Mar-27 07:00:00 (23.6%)
2097-Mar-27 12:00:00 (23.6%)
2097-Mar-27 17:00:00 (23.7%)
2097-Mar-27 22:00:00 (23.7%)
2097-Mar-28 03:00:00 (23.8%)
2097-Mar-28 08:00:00 (23.9%)
2097-Mar-28 13:00:00 (23.9%)
2097-Mar-28 18:00:00 (24%)
2097-Mar-28 23:00:00 (24%)
2097-Mar-29 03:00:00 (24.1%)
2097-Mar-29 08:00:00 (24.1%)
2097-Mar-29 13:00:00 (24.2%)
2097-Mar-29 18:00:00 (24.2%)
2097-Mar-29 23:00:00 (24.3%)
2097-Mar-30 04:00:00 (24.4%)
2097-Mar-30 09:00:00 (24.4%)
2097-Mar-30 14:00:00 (24.5%)
2097-Mar-30 19:00:00 (24.5%)
2097-Mar-31 00:00:00 (24.6%)
2097-Mar-31 05:00:00 (24.6%)
2097-Mar-31 10:00:00 (24.7%)
2097-Mar-31 15:00:00 (24.8%)
2097-Mar-31 20:00:00 (24.8%)
2097-Apr-01 00:00:00 (24.9%)
2097-Apr-01 05:00:00 (24.9%)
2097-Apr-01 10:00:00 (25%)
2097-Apr-01 15:00:00 (25%)
2097-Apr-01 20:00:00 (25.1%)
2097-Apr-02 01:00:00 (25.1%)
2097-Apr-02 06:00:00 (25.2%)
2097-Apr-02 11:00:00 (25.3%)
2097-Apr-02 16:00:00 (25.3%)
2097-Apr-02 21:00:00 (25.4%)
2097-Apr-03 02:00:00 (25.4%)
2097-Apr-03 07:00:00 (25.5%)
2097-Apr-03 12:00:00 (25.5%)
2097-Apr-03 17:00:00 (25.6%)
2097-Apr-03 22:00:00 (25.7%)
2097-Apr-04 02:00:00 (25.7%)
2097-Apr-04 07:00:00 (25.8%)
2097-Apr-04 12:00:00 (25.8%)
2097-Apr-04 17:00:00 (25.9%)
2097-Apr-04 22:00:00 (25.9%)
2097-Apr-05 03:00:00 (26%)
2097-Apr-05 08:00:00 (26%)
2097-Apr-05 13:00:00 (26.1%)
2097-Apr-05 18:00:00 (26.2%)
2097-Apr-05 23:00:00 (26.2%)
2097-Apr-06 04:00:00 (26.3%)
2097-Apr-06 09:00:00 (26.3%)
2097-Apr-06 14:00:00 (26.4%)
2097-Apr-06 19:00:00 (26.4%)
2097-Apr-06 23:00:00 (26.5%)
2097-Apr-07 04:00:00 (26.5%)
2097-Apr-07 09:00:00 (26.6%)
2097-Apr-07 14:00:00 (26.7%)
2097-Apr-07 19:00:00 (26.7%)
2097-Apr-08 00:00:00 (26.8%)
2097-Apr-08 05:00:00 (26.8%)
2097-Apr-08 10:00:00 (26.9%)
2097-Apr-08 15:00:00 (26.9%)
2097-Apr-08 20:00:00 (27%)
2097-Apr-09 01:00:00 (27.1%)
2097-Apr-09 06:00:00 (27.1%)
2097-Apr-09 11:00:00 (27.2%)
2097-Apr-09 16:00:00 (27.2%)
2097-Apr-09 20:00:00 (27.3%)
2097-Apr-10 01:00:00 (27.3%)
2097-Apr-10 06:00:00 (27.4%)
2097-Apr-10 11:00:00 (27.4%)
2097-Apr-10 16:00:00 (27.5%)
2097-Apr-10 21:00:00 (27.6%)
2097-Apr-11 02:00:00 (27.6%)
2097-Apr-11 07:00:00 (27.7%)
2097-Apr-11 12:00:00 (27.7%)
2097-Apr-11 17:00:00 (27.8%)
2097-Apr-11 22:00:00 (27.8%)
2097-Apr-12 03:00:00 (27.9%)
2097-Apr-12 08:00:00 (28%)
2097-Apr-12 13:00:00 (28%)
2097-Apr-12 18:00:00 (28.1%)
2097-Apr-12 22:00:00 (28.1%)
2097-Apr-13 03:00:00 (28.2%)
2097-Apr-13 08:00:00 (28.2%)
2097-Apr-13 13:00:00 (28.3%)
2097-Apr-13 18:00:00 (28.3%)
2097-Apr-13 23:00:00 (28.4%)
2097-Apr-14 04:00:00 (28.5%)
2097-Apr-14 09:00:00 (28.5%)
2097-Apr-14 14:00:00 (28.6%)
2097-Apr-14 19:00:00 (28.6%)
2097-Apr-15 00:00:00 (28.7%)
2097-Apr-15 05:00:00 (28.7%)
2097-Apr-15 10:00:00 (28.8%)
2097-Apr-15 15:00:00 (28.9%)
2097-Apr-15 19:00:00 (28.9%)
2097-Apr-16 00:00:00 (29%)
2097-Apr-16 05:00:00 (29%)
2097-Apr-16 10:00:00 (29.1%)
2097-Apr-16 15:00:00 (29.1%)
2097-Apr-16 20:00:00 (29.2%)
2097-Apr-17 01:00:00 (29.2%)
2097-Apr-17 06:00:00 (29.3%)
2097-Apr-17 11:00:00 (29.4%)
2097-Apr-17 16:00:00 (29.4%)
2097-Apr-17 21:00:00 (29.5%)
2097-Apr-18 02:00:00 (29.5%)
2097-Apr-18 07:00:00 (29.6%)
2097-Apr-18 12:00:00 (29.6%)
2097-Apr-18 16:00:00 (29.7%)
2097-Apr-18 21:00:00 (29.7%)
2097-Apr-19 02:00:00 (29.8%)
2097-Apr-19 07:00:00 (29.9%)
2097-Apr-19 12:00:00 (29.9%)
2097-Apr-19 17:00:00 (30%)
2097-Apr-19 22:00:00 (30%)
2097-Apr-20 03:00:00 (30.1%)
2097-Apr-20 08:00:00 (30.1%)
2097-Apr-20 13:00:00 (30.2%)
2097-Apr-20 18:00:00 (30.3%)
2097-Apr-20 23:00:00 (30.3%)
2097-Apr-21 04:00:00 (30.4%)
2097-Apr-21 09:00:00 (30.4%)
2097-Apr-21 14:00:00 (30.5%)
2097-Apr-21 18:00:00 (30.5%)
2097-Apr-21 23:00:00 (30.6%)
2097-Apr-22 04:00:00 (30.6%)
2097-Apr-22 09:00:00 (30.7%)
2097-Apr-22 14:00:00 (30.8%)
2097-Apr-22 19:00:00 (30.8%)
2097-Apr-23 00:00:00 (30.9%)
2097-Apr-23 05:00:00 (30.9%)
2097-Apr-23 10:00:00 (31%)
2097-Apr-23 15:00:00 (31%)
2097-Apr-23 20:00:00 (31.1%)
2097-Apr-24 01:00:00 (31.2%)
2097-Apr-24 06:00:00 (31.2%)
2097-Apr-24 11:00:00 (31.3%)
2097-Apr-24 15:00:00 (31.3%)
2097-Apr-24 20:00:00 (31.4%)
2097-Apr-25 01:00:00 (31.4%)
2097-Apr-25 06:00:00 (31.5%)
2097-Apr-25 11:00:00 (31.5%)
2097-Apr-25 16:00:00 (31.6%)
2097-Apr-25 21:00:00 (31.7%)
2097-Apr-26 02:00:00 (31.7%)
2097-Apr-26 07:00:00 (31.8%)
2097-Apr-26 12:00:00 (31.8%)
2097-Apr-26 17:00:00 (31.9%)
2097-Apr-26 22:00:00 (31.9%)
2097-Apr-27 02:00:00 (32%)
2097-Apr-27 07:00:00 (32%)
2097-Apr-27 12:00:00 (32.1%)
2097-Apr-27 17:00:00 (32.2%)
2097-Apr-27 22:00:00 (32.2%)
2097-Apr-28 03:00:00 (32.3%)
2097-Apr-28 08:00:00 (32.3%)
2097-Apr-28 13:00:00 (32.4%)
2097-Apr-28 18:00:00 (32.4%)
2097-Apr-28 23:00:00 (32.5%)
2097-Apr-29 04:00:00 (32.6%)
2097-Apr-29 09:00:00 (32.6%)
2097-Apr-29 14:00:00 (32.7%)
2097-Apr-29 19:00:00 (32.7%)
2097-Apr-29 23:00:00 (32.8%)
2097-Apr-30 04:00:00 (32.8%)
2097-Apr-30 09:00:00 (32.9%)
2097-Apr-30 14:00:00 (32.9%)
2097-Apr-30 19:00:00 (33%)
2097-May-01 00:00:00 (33.1%)
2097-May-01 05:00:00 (33.1%)
2097-May-01 10:00:00 (33.2%)
2097-May-01 15:00:00 (33.2%)
2097-May-01 20:00:00 (33.3%)
2097-May-02 01:00:00 (33.3%)
2097-May-02 06:00:00 (33.4%)
2097-May-02 11:00:00 (33.5%)
2097-May-02 16:00:00 (33.5%)
2097-May-02 21:00:00 (33.6%)
2097-May-03 01:00:00 (33.6%)
2097-May-03 06:00:00 (33.7%)
2097-May-03 11:00:00 (33.7%)
2097-May-03 16:00:00 (33.8%)
2097-May-03 21:00:00 (33.8%)
2097-May-04 02:00:00 (33.9%)
2097-May-04 07:00:00 (34%)
2097-May-04 12:00:00 (34%)
2097-May-04 17:00:00 (34.1%)
2097-May-04 22:00:00 (34.1%)
2097-May-05 03:00:00 (34.2%)
2097-May-05 08:00:00 (34.2%)
2097-May-05 13:00:00 (34.3%)
2097-May-05 18:00:00 (34.4%)
2097-May-05 22:00:00 (34.4%)
2097-May-06 03:00:00 (34.5%)
2097-May-06 08:00:00 (34.5%)
2097-May-06 13:00:00 (34.6%)
2097-May-06 18:00:00 (34.6%)
2097-May-06 23:00:00 (34.7%)
2097-May-07 04:00:00 (34.7%)
2097-May-07 09:00:00 (34.8%)
2097-May-07 14:00:00 (34.9%)
2097-May-07 19:00:00 (34.9%)
2097-May-08 00:00:00 (35%)
2097-May-08 05:00:00 (35%)
2097-May-08 10:00:00 (35.1%)
2097-May-08 15:00:00 (35.1%)
2097-May-08 19:00:00 (35.2%)
2097-May-09 00:00:00 (35.2%)
2097-May-09 05:00:00 (35.3%)
2097-May-09 10:00:00 (35.4%)
2097-May-09 15:00:00 (35.4%)
2097-May-09 20:00:00 (35.5%)
2097-May-10 01:00:00 (35.5%)
