instance.yaml
kiva v0.2.0-0-g98c829f
Copyright (C) 2012-2014 Big Ladder Software
Web: www.bigladdersoftware.com

Starting Program: 2014-Jun-24 18:22:33.450294
Creating Domain...
Initializing Temperatures...
Beginning Simulation...
2097-Jan-14 01:30:00 (3.8%)
2097-Jan-14 02:56:00 (3.9%)
2097-Jan-14 04:22:00 (3.9%)
2097-Jan-14 05:48:00 (3.9%)
2097-Jan-14 07:14:00 (3.9%)
2097-Jan-14 08:41:00 (3.9%)
2097-Jan-14 10:07:00 (3.9%)
2097-Jan-14 11:33:00 (4%)
2097-Jan-14 12:59:00 (4%)
2097-Jan-14 14:25:00 (4%)
2097-Jan-14 15:51:00 (4%)
2097-Jan-14 17:17:00 (4%)
2097-Jan-14 18:44:00 (4%)
2097-Jan-14 20:10:00 (4.1%)
2097-Jan-14 21:36:00 (4.1%)
2097-Jan-14 23:02:00 (4.1%)
2097-Jan-15 00:28:00 (4.1%)
2097-Jan-15 01:54:00 (4.1%)
2097-Jan-15 03:20:00 (4.1%)
2097-Jan-15 04:47:00 (4.2%)
2097-Jan-15 06:13:00 (4.2%)
2097-Jan-15 07:39:00 (4.2%)
2097-Jan-15 09:05:00 (4.2%)
2097-Jan-15 10:31:00 (4.2%)
2097-Jan-15 11:57:00 (4.2%)
2097-Jan-15 13:24:00 (4.3%)
2097-Jan-15 14:50:00 (4.3%)
2097-Jan-15 16:16:00 (4.3%)
2097-Jan-15 17:42:00 (4.3%)
2097-Jan-15 19:08:00 (4.3%)
2097-Jan-15 20:34:00 (4.3%)
2097-Jan-15 22:00:00 (4.3%)
2097-Jan-15 23:27:00 (4.4%)
2097-Jan-16 00:53:00 (4.4%)
2097-Jan-16 02:19:00 (4.4%)
2097-Jan-16 03:45:00 (4.4%)
2097-Jan-16 05:11:00 (4.4%)
2097-Jan-16 06:37:00 (4.4%)
2097-Jan-16 08:03:00 (4.5%)
2097-Jan-16 09:30:00 (4.5%)
2097-Jan-16 10:56:00 (4.5%)
2097-Jan-16 12:22:00 (4.5%)
2097-Jan-16 13:48:00 (4.5%)
2097-Jan-16 15:14:00 (4.5%)
2097-Jan-16 16:41:00 (4.6%)
2097-Jan-16 18:07:00 (4.6%)
2097-Jan-16 19:33:00 (4.6%)
2097-Jan-16 20:59:00 (4.6%)
2097-Jan-16 22:25:00 (4.6%)
2097-Jan-16 23:51:00 (4.6%)
2097-Jan-17 01:17:00 (4.7%)
2097-Jan-17 02:44:00 (4.7%)
2097-Jan-17 04:10:00 (4.7%)
2097-Jan-17 05:36:00 (4.7%)
2097-Jan-17 07:02:00 (4.7%)
2097-Jan-17 08:28:00 (4.7%)
2097-Jan-17 09:54:00 (4.8%)
2097-Jan-17 11:20:00 (4.8%)
2097-Jan-17 12:47:00 (4.8%)
2097-Jan-17 14:13:00 (4.8%)
2097-Jan-17 15:39:00 (4.8%)
2097-Jan-17 17:05:00 (4.8%)
2097-Jan-17 18:31:00 (4.9%)
2097-Jan-17 19:58:00 (4.9%)
2097-Jan-17 21:24:00 (4.9%)
2097-Jan-17 22:50:00 (4.9%)
2097-Jan-18 00:16:00 (4.9%)
2097-Jan-18 01:42:00 (4.9%)
2097-Jan-18 03:08:00 (5%)
2097-Jan-18 04:34:00 (5%)
2097-Jan-18 06:01:00 (5%)
2097-Jan-18 07:27:00 (5%)
2097-Jan-18 08:53:00 (5%)
2097-Jan-18 10:19:00 (5%)
2097-Jan-18 11:45:00 (5.1%)
2097-Jan-18 13:12:00 (5.1%)
2097-Jan-18 14:38:00 (5.1%)
2097-Jan-18 16:04:00 (5.1%)
2097-Jan-18 17:30:00 (5.1%)
2097-Jan-18 18:56:00 (5.1%)
2097-Jan-18 20:22:00 (5.1%)
2097-Jan-18 21:49:00 (5.2%)
2097-Jan-18 23:15:00 (5.2%)
2097-Jan-19 00:41:00 (5.2%)
2097-Jan-19 02:07:00 (5.2%)
2097-Jan-19 03:33:00 (5.2%)
2097-Jan-19 04:59:00 (5.2%)
2097-Jan-19 06:26:00 (5.3%)
2097-Jan-19 07:52:00 (5.3%)
2097-Jan-19 09:18:00 (5.3%)
2097-Jan-19 10:44:00 (5.3%)
2097-Jan-19 12:10:00 (5.3%)
2097-Jan-19 13:36:00 (5.3%)
2097-Jan-19 15:03:00 (5.4%)
2097-Jan-19 16:29:00 (5.4%)
2097-Jan-19 17:55:00 (5.4%)
2097-Jan-19 19:21:00 (5.4%)
2097-Jan-19 20:46:00 (5.4%)
2097-Jan-19 22:11:00 (5.4%)
2097-Jan-19 23:36:00 (5.5%)
2097-Jan-20 01:01:00 (5.5%)
2097-Jan-20 02:26:00 (5.5%)
2097-Jan-20 03:51:00 (5.5%)
2097-Jan-20 05:16:00 (5.5%)
2097-Jan-20 06:41:00 (5.5%)
2097-Jan-20 08:07:00 (5.6%)
2097-Jan-20 09:32:00 (5.6%)
2097-Jan-20 10:57:00 (5.6%)
2097-Jan-20 12:22:00 (5.6%)
2097-Jan-20 13:47:00 (5.6%)
2097-Jan-20 15:12:00 (5.6%)
2097-Jan-20 16:37:00 (5.7%)
2097-Jan-20 18:02:00 (5.7%)
2097-Jan-20 19:28:00 (5.7%)
2097-Jan-20 20:53:00 (5.7%)
2097-Jan-20 22:18:00 (5.7%)
2097-Jan-20 23:43:00 (5.7%)
2097-Jan-21 01:08:00 (5.8%)
2097-Jan-21 02:33:00 (5.8%)
2097-Jan-21 03:58:00 (5.8%)
2097-Jan-21 05:23:00 (5.8%)
2097-Jan-21 06:48:00 (5.8%)
2097-Jan-21 08:14:00 (5.8%)
2097-Jan-21 09:39:00 (5.8%)
2097-Jan-21 11:04:00 (5.9%)
2097-Jan-21 12:29:00 (5.9%)
2097-Jan-21 13:54:00 (5.9%)
2097-Jan-21 15:19:00 (5.9%)
2097-Jan-21 16:44:00 (5.9%)
2097-Jan-21 18:09:00 (5.9%)
2097-Jan-21 19:35:00 (6%)
2097-Jan-21 21:00:00 (6%)
2097-Jan-21 22:25:00 (6%)
2097-Jan-21 23:50:00 (6%)
2097-Jan-22 01:15:00 (6%)
2097-Jan-22 02:40:00 (6%)
2097-Jan-22 04:05:00 (6.1%)
2097-Jan-22 05:30:00 (6.1%)
2097-Jan-22 06:55:00 (6.1%)
2097-Jan-22 08:21:00 (6.1%)
2097-Jan-22 09:46:00 (6.1%)
2097-Jan-22 11:11:00 (6.1%)
2097-Jan-22 12:36:00 (6.2%)
2097-Jan-22 14:01:00 (6.2%)
2097-Jan-22 15:26:00 (6.2%)
2097-Jan-22 16:51:00 (6.2%)
2097-Jan-22 18:16:00 (6.2%)
2097-Jan-22 19:42:00 (6.2%)
2097-Jan-22 21:07:00 (6.3%)
2097-Jan-22 22:32:00 (6.3%)
2097-Jan-22 23:57:00 (6.3%)
2097-Jan-23 01:22:00 (6.3%)
2097-Jan-23 02:47:00 (6.3%)
2097-Jan-23 04:12:00 (6.3%)
2097-Jan-23 05:37:00 (6.3%)
2097-Jan-23 07:02:00 (6.4%)
2097-Jan-23 08:28:00 (6.4%)
2097-Jan-23 09:53:00 (6.4%)
2097-Jan-23 11:18:00 (6.4%)
2097-Jan-23 12:43:00 (6.4%)
2097-Jan-23 14:08:00 (6.4%)
2097-Jan-23 15:33:00 (6.5%)
2097-Jan-23 16:58:00 (6.5%)
2097-Jan-23 18:23:00 (6.5%)
2097-Jan-23 19:49:00 (6.5%)
2097-Jan-23 21:14:00 (6.5%)
2097-Jan-23 22:39:00 (6.5%)
2097-Jan-24 00:04:00 (6.6%)
2097-Jan-24 01:29:00 (6.6%)
2097-Jan-24 02:54:00 (6.6%)
2097-Jan-24 04:19:00 (6.6%)
2097-Jan-24 05:44:00 (6.6%)
2097-Jan-24 07:10:00 (6.6%)
2097-Jan-24 08:35:00 (6.7%)
2097-Jan-24 10:00:00 (6.7%)
2097-Jan-24 11:25:00 (6.7%)
2097-Jan-24 12:50:00 (6.7%)
2097-Jan-24 14:15:00 (6.7%)
2097-Jan-24 15:40:00 (6.7%)
2097-Jan-24 17:05:00 (6.8%)
2097-Jan-24 18:30:00 (6.8%)
2097-Jan-24 19:55:00 (6.8%)
2097-Jan-24 21:21:00 (6.8%)
2097-Jan-24 22:46:00 (6.8%)
2097-Jan-25 00:11:00 (6.8%)
2097-Jan-25 01:36:00 (6.8%)
2097-Jan-25 03:01:00 (6.9%)
2097-Jan-25 04:26:00 (6.9%)
2097-Jan-25 05:51:00 (6.9%)
2097-Jan-25 07:16:00 (6.9%)
2097-Jan-25 08:42:00 (6.9%)
2097-Jan-25 10:07:00 (6.9%)
2097-Jan-25 11:32:00 (7%)
2097-Jan-25 12:57:00 (7%)
2097-Jan-25 14:22:00 (7%)
2097-Jan-25 15:47:00 (7%)
2097-Jan-25 17:12:00 (7%)
2097-Jan-25 18:37:00 (7%)
2097-Jan-25 20:03:00 (7.1%)
2097-Jan-25 21:28:00 (7.1%)
2097-Jan-25 22:53:00 (7.1%)
2097-Jan-26 00:18:00 (7.1%)
2097-Jan-26 01:43:00 (7.1%)
2097-Jan-26 03:08:00 (7.1%)
2097-Jan-26 04:33:00 (7.2%)
2097-Jan-26 05:58:00 (7.2%)
2097-Jan-26 07:23:00 (7.2%)
2097-Jan-26 08:49:00 (7.2%)
2097-Jan-26 10:14:00 (7.2%)
2097-Jan-26 11:39:00 (7.2%)
2097-Jan-26 13:04:00 (7.3%)
2097-Jan-26 14:29:00 (7.3%)
2097-Jan-26 15:54:00 (7.3%)
2097-Jan-26 17:19:00 (7.3%)
2097-Jan-26 18:44:00 (7.3%)
2097-Jan-26 20:09:00 (7.3%)
2097-Jan-26 21:35:00 (7.3%)
2097-Jan-26 23:00:00 (7.4%)
2097-Jan-27 00:25:00 (7.4%)
2097-Jan-27 01:50:00 (7.4%)
2097-Jan-27 03:15:00 (7.4%)
2097-Jan-27 04:40:00 (7.4%)
2097-Jan-27 06:05:00 (7.4%)
2097-Jan-27 07:30:00 (7.5%)
2097-Jan-27 08:55:00 (7.5%)
2097-Jan-27 10:20:00 (7.5%)
2097-Jan-27 11:45:00 (7.5%)
2097-Jan-27 13:11:00 (7.5%)
2097-Jan-27 14:36:00 (7.5%)
2097-Jan-27 16:01:00 (7.6%)
2097-Jan-27 17:26:00 (7.6%)
2097-Jan-27 18:51:00 (7.6%)
2097-Jan-27 20:16:00 (7.6%)
2097-Jan-27 21:41:00 (7.6%)
2097-Jan-27 23:06:00 (7.6%)
2097-Jan-28 00:31:00 (7.7%)
2097-Jan-28 01:57:00 (7.7%)
2097-Jan-28 03:22:00 (7.7%)
2097-Jan-28 04:47:00 (7.7%)
2097-Jan-28 06:12:00 (7.7%)
2097-Jan-28 07:37:00 (7.7%)
2097-Jan-28 09:02:00 (7.8%)
2097-Jan-28 10:27:00 (7.8%)
2097-Jan-28 11:52:00 (7.8%)
2097-Jan-28 13:17:00 (7.8%)
2097-Jan-28 14:43:00 (7.8%)
2097-Jan-28 16:08:00 (7.8%)
2097-Jan-28 17:33:00 (7.9%)
2097-Jan-28 18:58:00 (7.9%)
2097-Jan-28 20:23:00 (7.9%)
2097-Jan-28 21:48:00 (7.9%)
2097-Jan-28 23:13:00 (7.9%)
2097-Jan-29 00:38:00 (7.9%)
2097-Jan-29 02:03:00 (7.9%)
2097-Jan-29 03:29:00 (8%)
2097-Jan-29 04:54:00 (8%)
2097-Jan-29 06:19:00 (8%)
2097-Jan-29 07:44:00 (8%)
2097-Jan-29 09:09:00 (8%)
2097-Jan-29 10:34:00 (8%)
2097-Jan-29 11:59:00 (8.1%)
2097-Jan-29 13:24:00 (8.1%)
2097-Jan-29 14:50:00 (8.1%)
2097-Jan-29 16:15:00 (8.1%)
2097-Jan-29 17:40:00 (8.1%)
2097-Jan-29 19:05:00 (8.1%)
2097-Jan-29 20:30:00 (8.2%)
2097-Jan-29 21:55:00 (8.2%)
2097-Jan-29 23:20:00 (8.2%)
2097-Jan-30 00:45:00 (8.2%)
2097-Jan-30 02:10:00 (8.2%)
2097-Jan-30 03:35:00 (8.2%)
2097-Jan-30 05:01:00 (8.3%)
2097-Jan-30 06:26:00 (8.3%)
2097-Jan-30 07:51:00 (8.3%)
2097-Jan-30 09:16:00 (8.3%)
2097-Jan-30 10:41:00 (8.3%)
2097-Jan-30 12:06:00 (8.3%)
2097-Jan-30 13:31:00 (8.4%)
2097-Jan-30 14:56:00 (8.4%)
2097-Jan-30 16:21:00 (8.4%)
2097-Jan-30 17:47:00 (8.4%)
2097-Jan-30 19:12:00 (8.4%)
2097-Jan-30 20:37:00 (8.4%)
2097-Jan-30 22:02:00 (8.4%)
2097-Jan-30 23:27:00 (8.5%)
2097-Jan-31 00:52:00 (8.5%)
2097-Jan-31 02:17:00 (8.5%)
2097-Jan-31 03:42:00 (8.5%)
2097-Jan-31 05:08:00 (8.5%)
2097-Jan-31 06:33:00 (8.5%)
2097-Jan-31 07:58:00 (8.6%)
2097-Jan-31 09:23:00 (8.6%)
2097-Jan-31 10:48:00 (8.6%)
2097-Jan-31 12:13:00 (8.6%)
2097-Jan-31 13:38:00 (8.6%)
2097-Jan-31 15:03:00 (8.6%)
2097-Jan-31 16:28:00 (8.7%)
2097-Jan-31 17:54:00 (8.7%)
2097-Jan-31 19:19:00 (8.7%)
2097-Jan-31 20:44:00 (8.7%)
2097-Jan-31 22:09:00 (8.7%)
2097-Jan-31 23:34:00 (8.7%)
2097-Feb-01 00:59:00 (8.8%)
2097-Feb-01 02:24:00 (8.8%)
2097-Feb-01 03:49:00 (8.8%)
2097-Feb-01 05:15:00 (8.8%)
2097-Feb-01 06:40:00 (8.8%)
2097-Feb-01 08:05:00 (8.8%)
2097-Feb-01 09:30:00 (8.9%)
2097-Feb-01 10:55:00 (8.9%)
2097-Feb-01 12:20:00 (8.9%)
2097-Feb-01 13:45:00 (8.9%)
2097-Feb-01 15:10:00 (8.9%)
2097-Feb-01 16:36:00 (8.9%)
2097-Feb-01 18:01:00 (8.9%)
2097-Feb-01 19:26:00 (9%)
2097-Feb-01 20:51:00 (9%)
2097-Feb-01 22:16:00 (9%)
2097-Feb-01 23:41:00 (9%)
2097-Feb-02 01:06:00 (9%)
2097-Feb-02 02:31:00 (9%)
2097-Feb-02 03:56:00 (9.1%)
2097-Feb-02 05:21:00 (9.1%)
2097-Feb-02 06:47:00 (9.1%)
2097-Feb-02 08:12:00 (9.1%)
2097-Feb-02 09:37:00 (9.1%)
2097-Feb-02 11:02:00 (9.1%)
2097-Feb-02 12:27:00 (9.2%)
2097-Feb-02 13:52:00 (9.2%)
2097-Feb-02 15:17:00 (9.2%)
2097-Feb-02 16:42:00 (9.2%)
2097-Feb-02 18:08:00 (9.2%)
2097-Feb-02 19:33:00 (9.2%)
2097-Feb-02 20:58:00 (9.3%)
2097-Feb-02 22:23:00 (9.3%)
2097-Feb-02 23:48:00 (9.3%)
2097-Feb-03 01:13:00 (9.3%)
2097-Feb-03 02:38:00 (9.3%)
2097-Feb-03 04:03:00 (9.3%)
2097-Feb-03 05:29:00 (9.4%)
2097-Feb-03 06:54:00 (9.4%)
2097-Feb-03 08:19:00 (9.4%)
2097-Feb-03 09:44:00 (9.4%)
2097-Feb-03 11:09:00 (9.4%)
2097-Feb-03 12:34:00 (9.4%)
2097-Feb-03 13:59:00 (9.4%)
2097-Feb-03 15:24:00 (9.5%)
2097-Feb-03 16:49:00 (9.5%)
2097-Feb-03 18:15:00 (9.5%)
2097-Feb-03 19:40:00 (9.5%)
2097-Feb-03 21:05:00 (9.5%)
2097-Feb-03 22:30:00 (9.5%)
2097-Feb-03 23:55:00 (9.6%)
2097-Feb-04 01:20:00 (9.6%)
2097-Feb-04 02:45:00 (9.6%)
2097-Feb-04 04:10:00 (9.6%)
2097-Feb-04 05:36:00 (9.6%)
2097-Feb-04 07:01:00 (9.6%)
2097-Feb-04 08:26:00 (9.7%)
2097-Feb-04 09:51:00 (9.7%)
2097-Feb-04 11:16:00 (9.7%)
2097-Feb-04 12:41:00 (9.7%)
2097-Feb-04 14:06:00 (9.7%)
2097-Feb-04 15:31:00 (9.7%)
2097-Feb-04 16:56:00 (9.8%)
2097-Feb-04 18:21:00 (9.8%)
2097-Feb-04 19:47:00 (9.8%)
2097-Feb-04 21:12:00 (9.8%)
2097-Feb-04 22:37:00 (9.8%)
2097-Feb-05 00:02:00 (9.8%)
2097-Feb-05 01:27:00 (9.9%)
2097-Feb-05 02:52:00 (9.9%)
2097-Feb-05 04:17:00 (9.9%)
2097-Feb-05 05:42:00 (9.9%)
2097-Feb-05 07:07:00 (9.9%)
2097-Feb-05 08:33:00 (9.9%)
2097-Feb-05 09:58:00 (9.9%)
2097-Feb-05 11:23:00 (10%)
2097-Feb-05 12:48:00 (10%)
2097-Feb-05 14:13:00 (10%)
2097-Feb-05 15:38:00 (10%)
2097-Feb-05 17:03:00 (10%)
2097-Feb-05 18:28:00 (10%)
2097-Feb-05 19:54:00 (10.1%)
2097-Feb-05 21:19:00 (10.1%)
2097-Feb-05 22:44:00 (10.1%)
2097-Feb-06 00:09:00 (10.1%)
2097-Feb-06 01:34:00 (10.1%)
2097-Feb-06 02:58:00 (10.1%)
2097-Feb-06 04:22:00 (10.2%)
2097-Feb-06 05:47:00 (10.2%)
2097-Feb-06 07:12:00 (10.2%)
2097-Feb-06 08:37:00 (10.2%)
2097-Feb-06 10:02:00 (10.2%)
2097-Feb-06 11:27:00 (10.2%)
