Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Temperature [K]
2100-Feb-12 19:00:00, 5155.2352753020068, 11.098904193999484, null, null, 5155.2352753020068, 294.25921240814353
2100-Feb-12 20:00:00, 5104.7896317389113, 10.990297828816928, null, null, 5104.7896317389113, 294.26764586805962
2100-Feb-12 21:00:00, 5066.8416008681379, 10.908598054414105, null, null, 5066.8416008681379, 294.27409403448297
2100-Feb-12 22:00:00, 5041.2813934674477, 10.853568501354106, null, null, 5041.2813934674477, 294.27854372413276
2100-Feb-12 23:00:00, 5027.2435662344724, 10.823345923483188, null, null, 5027.2435662344724, 294.2811143465587
2100-Feb-13 00:00:00, 5024.6541954976283, 10.817771167687141, null, null, 5024.6541954976283, 294.28180782018507
2100-Feb-13 01:00:00, 5032.0420741626131, 10.833676815658707, null, null, 5032.0420741626131, 294.28085568976763
2100-Feb-13 02:00:00, 5047.8121943060914, 10.867628913526845, null, null, 5047.8121943060914, 294.27851477512513
2100-Feb-13 03:00:00, 5069.8805052696052, 10.915140628517017, null, null, 5069.8805052696052, 294.27512272765352
2100-Feb-13 04:00:00, 5096.5189972880771, 10.972491661980435, null, null, 5096.5189972880771, 294.27096221545634
2100-Feb-13 05:00:00, 5126.4151266788886, 11.03685618816796, null, null, 5126.4151266788886, 294.2662492076758
2100-Feb-13 06:00:00, 5158.1060423358549, 11.105084778700364, null, null, 5158.1060423358549, 294.26122189075443
2100-Feb-13 07:00:00, 5193.1812866717919, 11.180599620540999, null, null, 5193.1812866717919, 294.25563700632568
2100-Feb-13 08:00:00, 5229.6089694968214, 11.259026179193206, null, null, 5229.6089694968214, 294.24981630399526
2100-Feb-13 09:00:00, 5262.1024291653202, 11.328982597578229, null, null, 5262.1024291653202, 294.24459216595693
